case_name,pdf_url
Illusory Systems/Nomad,https://www.ftc.gov/system/files/ftc_gov/pdf/NomadOrder.pdf
"Support King, LLC (SpyFone.com), In the Matter of",https://www.ftc.gov/system/files/documents/cases/1923003c4756spyfonecomplaint_0.pdf
"Support King, LLC (SpyFone.com), In the Matter of",https://www.ftc.gov/system/files/documents/cases/1923003c4756spyfonelettercommenterepic.pdf
"Support King, LLC (SpyFone.com), In the Matter of",https://www.ftc.gov/system/files/documents/cases/1923003c4756spyfonelettercommenterparentalvalues.pdf
"Support King, LLC (SpyFone.com), In the Matter of",https://www.ftc.gov/system/files/documents/cases/1923003c4756spyfoneorder.pdf
"Support King, LLC (SpyFone.com), In the Matter of",https://www.ftc.gov/system/files/documents/cases/192_3003_spyfone_agreement_and_order_without_signatures_0.pdf
"Support King, LLC (SpyFone.com), In the Matter of",https://www.ftc.gov/system/files/documents/cases/192_3003_spyfone_analysis.pdf
"Support King, LLC (SpyFone.com), In the Matter of",https://www.ftc.gov/system/files/documents/cases/192_3003_spyfone_complaint.pdf
"Support King, LLC (SpyFone.com), In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/1923003-PETITIONTOREOPENANDVACATEORMODIFYFTCCONSENTORDER_0.pdf
"Support King, LLC (SpyFone.com), In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/c4756spyfonecommorderdenypetvacateweb.pdf
"Support King, LLC (SpyFone.com), In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/c4756spyfoneletterscommenters_0.pdf
Apitor,https://www.ftc.gov/system/files/ftc_gov/pdf/Apitor-Complaint.pdf
Apitor,https://www.ftc.gov/system/files/ftc_gov/pdf/Apitor-JointMotion-StipOrder.pdf
Apitor,https://www.ftc.gov/system/files/ftc_gov/pdf/Apitor-Order.pdf
"Iconic Hearts Holdings, Inc., U.S. v.",https://www.ftc.gov/system/files/ftc_gov/pdf/IconicHeartsComplaint.pdf
Pornhub/Mindgeek/Aylo,https://www.ftc.gov/system/files/ftc_gov/pdf/AyloGroupLtd-et-al-Complaint.pdf
Pornhub/Mindgeek/Aylo,https://www.ftc.gov/system/files/ftc_gov/pdf/AyloGroupLtd-et-al-StipOrder.pdf
Pornhub/Mindgeek/Aylo,https://www.ftc.gov/system/files/ftc_gov/pdf/Pornhub-StipOrder.pdf
"Roca Labs, Inc.",https://www.ftc.gov/system/files/documents/cases/150924rocalabstro.pdf
"Roca Labs, Inc.",https://www.ftc.gov/system/files/documents/cases/150928rocalabscmpt.pdf
"Roca Labs, Inc.",https://www.ftc.gov/system/files/documents/cases/150928rocalabsexhibitsa-b.pdf
"Roca Labs, Inc.",https://www.ftc.gov/system/files/documents/cases/150928rocalabsexhibitsc-h.pdf
"Roca Labs, Inc.",https://www.ftc.gov/system/files/documents/cases/150929rocalabstro.pdf
"Roca Labs, Inc.",https://www.ftc.gov/system/files/documents/cases/151029rocoprelim.pdf
"Roca Labs, Inc.",https://www.ftc.gov/system/files/documents/cases/253_final_judgment_and_perm_inj.pdf
"Roca Labs, Inc.",https://www.ftc.gov/system/files/documents/cases/roca_labs_ftc_first_amended_complaint_2-19-16.pdf
"Roca Labs, Inc.",https://www.ftc.gov/system/files/documents/cases/roca_labs_opinion_grant_msj_deny_partial_msj_9-25-18.pdf
"GoDaddy Inc., et al., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2023133_godaddy_analysisofproposedconsent.pdf
"GoDaddy Inc., et al., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2023133_godaddy_complaint.pdf
"GoDaddy Inc., et al., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2023133_godaddy_consent.pdf
"GoDaddy Inc., et al., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2023133_godaddy_decisionandorder.pdf
"GoDaddy Inc., et al., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2023133_godaddy_exhibits.pdf
"GoDaddy Inc., et al., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/GoDaddy-Complaint.pdf
"GoDaddy Inc., et al., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/GoDaddy-D%26O.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/sites/default/files/documents/cases/2011/11/111129facebookagree.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/sites/default/files/documents/cases/2011/11/111129facebookanal.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/sites/default/files/documents/cases/2011/11/111129facebookcmpt.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/sites/default/files/documents/cases/2011/11/111129facebookexha-s.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/sites/default/files/documents/cases/2011/12/111205facebookfrn.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/sites/default/files/documents/cases/2012/08/111129facebookexha-s.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/sites/default/files/documents/cases/2012/08/120810facebookcmbltrs.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/sites/default/files/documents/cases/2012/08/120810facebookcmpt.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/sites/default/files/documents/cases/2012/08/120810facebookdo.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/documents/cases/182_3109_facebook_complaint_filed_7-24-19.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/documents/cases/182_3109_facebook_consent_motion_filed_7-24-19.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/documents/cases/182_3109_facebook_order_filed_7-24-19.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/documents/cases/c4365facebookmodifyingorder.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/2024.01.10.c4365_otsc_order_public_redacted.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/607665_-_efile0002395_-2023.05.10.motion.extension.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/607694_-_noa0001712_-02023.05.10.notice.of_.appearance.and_.statements.iso_.noas_.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/608067_-_efile0002503_-2023.06.27_motion_for_extension_of_time_to_respond_to_otsc_with_exhibits.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/608997_-_efile0002658_-_2023.11.21_motion_for_extension_of_time_to_respond_to_otsc_with_exhibits.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/610067_-_motion_for_extension_of_time_to_respond_to_otsc.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/610261_-_cc_motion_for_order_requiring_parties_to_meet_and_confer.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/610351_-_respondents_opposition_to_complaint_counsels_motion_for_order_requiring.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/610910.2024-06-07_public_notice_of_filing_under_seal.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/610911.2024-06-07_public-redacted_reply_to_metas_osc_resp_redacted.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/611212.2024.07.15_-_compl_counsel_notice_of_unavailability.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/611242.2024.07.18.further.reply_.public.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/611256.2024.07.19.notice.of_.unavailability.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/611509.2024.08.29.notice.of_.unavailability.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/612123.2024.11.05_meta.oral_.argument.materials.public.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/612142.2024.11.07_notice_of_appearance_-_l._koss.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/613270.2025.05.02_notice_of_withdrawal_kim.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/C4365-Commission-Order-to-Show-Cause-%28Redacted-Public%29.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/bedoya_comm_combinedpdf.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/c4365-motion_of_respondent_meta_platforms_inc_f_k_a_facebook_inc._for_confidential_or_in_camera_treatment_-_public.pdf
"Facebook, Inc., In the Matter of",https://www.ftc.gov/system/files/ftc_gov/pdf/c4365-response_of_meta_platforms_inc._f_k_a_facebook_inc._to_the_commission_s_preliminary_findings_of_fact_-_public.pdf
