case_name,url,date,case_type,matter_number,case_status,summary,tags,long_title
"DSW Inc.,In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/052-3096-dsw-incin-matter,2006-03-14T12:00:00Z,Administrative,052 3096,,,Consumer Protection; Privacy and Security; Data Security,In the Matter of DSW Inc.
"Far West Credit, Inc., U.S.",https://www.ftc.gov/legal-library/browse/cases-proceedings/042-3185-far-west-credit-inc-us,2006-01-17T12:00:00Z,Federal,042-3185,,,Consumer Protection; Privacy and Security; Credit Reporting,"United States of America, Plaintiff, v. Far West Credit, Inc., Defendant"
"Superior Mortgage Corp., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/052-3136-superior-mortgage-corp-matter,2005-12-16T12:00:00Z,Administrative,052 3136,,,Consumer Protection; Privacy and Security; Data Security; Gramm-Leach-Bliley Act,In the Matter of Superior Mortgage Corp.
"Sun Spectrum Communications Organization, Inc., et al.",https://www.ftc.gov/legal-library/browse/cases-proceedings/032-3032-sun-spectrum-communications-organization-inc-et-al,2005-10-24T12:00:00Z,Federal,032 3032,,,Consumer Protection; Privacy and Security; Gramm-Leach-Bliley Act,"FTC v. Sun Spectrum Communications Organization, Inc., dba Royal Credit Solutions; North American Communications Organization, Inc., dba Imperial Consumer Services; WWCI2002, Inc., dba Beneficial Client Care, 9106-7843 Quebec, Inc., dba Intelagent Media; William H. Martell, Tracey A. Bascove, Mitchel Kastner, Ronald Corber, and Jason Kastner, defendants."
"BJ's Wholesale Club, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/042-3160-bjs-wholesale-club-inc-matter,2005-09-23T12:00:00Z,Administrative,042 3160,,,Consumer Protection; Privacy and Security; Data Security,"In the Matter of BJ's Wholesale Club, Inc."
"Vision I Properties, LLC, et al., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/042-3068-vision-i-properties-llc-et-al-matter,2005-04-26T12:00:00Z,Administrative,042 3068,,,Consumer Protection; Privacy and Security; Consumer Privacy; Data Security,"In the Matter of Vision I Properties, LLC, doing business as CartManager International"
"Nationwide Mortgage Group, Inc., and John D. Eubank, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/042-3104-nationwide-mortgage-group-inc-john-d-eubank-matter,2005-04-15T12:00:00Z,Administrative,042-3104,,,Consumer Protection; Finance; Real Estate and Mortgages; Credit and Finance; Mortgages; Privacy and Security; Data Security; Gramm-Leach-Bliley Act,"In the Matter of Nationwide Mortgage Group, Inc., and John D. Eubank"
"Petco Animal Supplies, Inc., In th Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/032-3221-petco-animal-supplies-inc-th-matter,2005-03-08T12:00:00Z,Administrative,032 3221,,,Consumer Protection; Privacy and Security; Data Security,"In the Matter of Petco Animal Supplies, Inc."
"Assail, Inc., et al.",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3147-assail-inc-et-al,2005-01-24T12:00:00Z,Federal,022 3147,,,Consumer Protection; Privacy and Security; Gramm-Leach-Bliley Act,"Federal Trade Commission, Plaintiff, vs. Assail, Inc., et al., Defendants.,United States District Court, Western District of Texas, Waco Division"
"Sunbelt Lending Services, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/042-3153-sunbelt-lending-services-inc-matter,2005-01-07T12:00:00Z,Administrative,042 3153,,,Consumer Protection; Finance; Credit and Finance; Mortgages; Privacy and Security; Data Security; Gramm-Leach-Bliley Act,"In the Matter of Sunbelt Lending Services, Inc."
"Gateway Learning Corp., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/042-3047-gateway-learning-corp-matter,2004-12-28T12:00:00Z,Administrative,042 3047,,,Consumer Protection; Privacy and Security; Consumer Privacy,In the Matter of Gateway Learning Corp.
"Bonzi Software, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/042-3016-bonzi-software-inc,2004-10-13T12:00:00Z,Administrative,042 3016,,There is a related federal case .,Consumer Protection; Advertising and Marketing; Online Advertising and Marketing; Privacy and Security; Children's Privacy; Consumer Privacy,"In the Matter of Bonzi Software, Inc., a corporation, and Joe Bonzi and Jay Bonzi, individually and as officers of said corporation."
AT&T Corp,https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3159-att-corp,2004-09-10T12:00:00Z,Federal,022-3159,,,Consumer Protection; Privacy and Security; Credit Reporting,United States of America v. AT&T Corp.
"Sprint Corporation, Sprint Communications Company L.P., et al.",https://www.ftc.gov/legal-library/browse/cases-proceedings/022-3160-sprint-corporation-sprint-communications-company-lp-et-al,2004-09-10T12:00:00Z,Federal,022-3160,,,Consumer Protection; Privacy and Security; Credit Reporting,"United States of America v. Sprint Corporation, Sprint Communications Company L.P., et al."
"Imperial Palace, Inc., et al., US",https://www.ftc.gov/legal-library/browse/cases-proceedings/0323050-imperial-palace-inc-et-al-us,2004-07-14T12:00:00Z,Federal,0323050,,,Consumer Protection; Human Resources; Privacy and Security; Credit Reporting,"United States of America, Plaintiff, v. Imperial Palace, Inc., d.b.a. Imperial Palace Casino, and Imperial Palace of Mississippi, Inc., Defendants., United States District Court for the District of Nevada"
"MTS, Inc., et al., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/032-3209-mts-inc-et-al-matter,2004-06-02T12:00:00Z,Administrative,032-3209,,,Consumer Protection; Privacy and Security; Data Security,"In the Matter of MTS, Inc., doing business as Tower Records/Books/Video, a corporation, and Tower Direct, LLC, doing business as TowerRecords.com, a corporation."
"NCO Group, Inc., et al.",https://www.ftc.gov/legal-library/browse/cases-proceedings/992-3012-nco-group-inc-et-al,2004-05-13T12:00:00Z,Federal,992-3012,,,Consumer Protection; Finance; Credit and Finance; Credit and Loans; Privacy and Security; Credit Reporting,"United States of America, v. NCO Group, Inc., a Pennsylvania Corporation, NCO Financial Systems, Inc., a Pennsylvania Corporation, and NCO Portfolio Management, Inc., a Delaware Corporation."
Hill Zachary Keith,https://www.ftc.gov/legal-library/browse/cases-proceedings/032-3102-hill-zachary-keith,2004-03-22T12:00:00Z,Federal,032-3102,,,Consumer Protection; Privacy and Security; Consumer Privacy; Gramm-Leach-Bliley Act,"FTC v. Zachary Keith Hill, defendant.,"
"Bonzi Software, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/bonzi-software-inc,2004-02-18T12:00:00Z,Federal,,,There is a related administrative case .,Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Technology; Software and Databases; Advertising and Marketing; Online Advertising and Marketing; Privacy and Security; Children's Privacy,"United States of America v. Bonzi Software, Inc., a Delaware Corporation, defendant."
"UMG Recordings, Inc., a corporation, US",https://www.ftc.gov/legal-library/browse/cases-proceedings/umg-recordings-inc-corporation-us,2004-02-18T12:00:00Z,Federal,,,,Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Technology; Software and Databases; Privacy and Security; Children's Privacy,"United States of America v. UMG Recordings, Inc., a corporation, defendant."
